# Freq,Power
1.000000000000000000e+08,-9.999981366734139954e+01
1.000200400801603198e+08,-9.999979407064732584e+01
1.000400801603206396e+08,-9.999977250434135101e+01
1.000601202404809594e+08,-9.999974878037811266e+01
1.000801603206412792e+08,-9.999972269379520640e+01
1.001002004008015990e+08,-9.999969402129524099e+01
1.001202404809619188e+08,-9.999966251971912357e+01
1.001402805611222386e+08,-9.999962792440310011e+01
1.001603206412825584e+08,-9.999958994741162144e+01
1.001803607214428931e+08,-9.999954827563779247e+01
1.002004008016032130e+08,-9.999950256876259402e+01
1.002204408817635328e+08,-9.999945245706372532e+01
1.002404809619238526e+08,-9.999939753906416229e+01
1.002605210420841724e+08,-9.999933737901031350e+01
1.002805611222444922e+08,-9.999927150416895927e+01
1.003006012024048120e+08,-9.999919940193152001e+01
1.003206412825651318e+08,-9.999912051671385882e+01
1.003406813627254516e+08,-9.999903424663916951e+01
1.003607214428857714e+08,-9.999893993999060626e+01
1.003807615230460912e+08,-9.999883689142029652e+01
1.004008016032064110e+08,-9.999872433790008586e+01
1.004208416833667308e+08,-9.999860145439926384e+01
1.004408817635270506e+08,-9.999846734927349701e+01
1.004609218436873704e+08,-9.999832105934865467e+01
1.004809619238476902e+08,-9.999816154468274476e+01
1.005010020040080100e+08,-9.999798768298803964e+01
1.005210420841683298e+08,-9.999779826369525892e+01
1.005410821643286645e+08,-9.999759198164053942e+01
1.005611222444889843e+08,-9.999736743035576580e+01
1.005811623246493042e+08,-9.999712309494147178e+01
1.006012024048096240e+08,-9.999685734450147834e+01
1.006212424849699438e+08,-9.999656842411727098e+01
1.006412825651302636e+08,-9.999625444633976201e+01
1.006613226452905834e+08,-9.999591338217510383e+01
1.006813627254509032e+08,-9.999554305154096312e+01
1.007014028056112230e+08,-9.999514111316875642e+01
1.007214428857715428e+08,-9.999470505392665132e+01
1.007414829659318626e+08,-9.999423217753802362e+01
1.007615230460921824e+08,-9.999371959266896681e+01
1.007815631262525022e+08,-9.999316420035843578e+01
1.008016032064128220e+08,-9.999256268076373999e+01
